Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic Regression,0.775,0.6530612244897959,0.5333333333333333,0.5871559633027523,0.7996428571428571
Decision Tree,0.635,0.42528735632183906,0.6166666666666667,0.5034013605442177,0.6739285714285714
Random Forest,0.76,0.5967741935483871,0.6166666666666667,0.6065573770491803,0.8001190476190476
XGBoost,0.76,0.625,0.5,0.5555555555555556,0.7942857142857143
