Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic Regression,0.8085,0.6823770491803278,0.2509419743782969,0.3669421487603306,0.7094780885430921
Decision Tree,0.7073333333333334,0.39741750358680056,0.6262245666917859,0.48624926857811585,0.7324888716803919
Random Forest,0.7985,0.5466034755134281,0.5214770158251696,0.5337446972618588,0.7730317875734691
XGBoost,0.8185,0.6599462365591398,0.3700075357950264,0.4741670690487687,0.7714730245791411
